image_id,severity,location,type,sent_time,received_time,delay_ms
crack_img_1,high,[52.0001, 13.0001],longitudinal,1742650597193,1742650673701,76508
crack_img_2,medium,[52.0002, 13.0002],transverse,1742650597546,1742650674021,76475
crack_img_3,low,[52.0003, 13.0003],alligator,1742650597878,1742650674353,76475
crack_img_4,high,[52.0004, 13.0004],edge,1742650598206,1742650674684,76478
crack_img_5,medium,[52.0005, 13.0005],block,1742650598529,1742650675033,76504
crack_img_6,low,[52.0006, 13.0006],slippage,1742650598892,1742650675681,76789
crack_img_1,high,[52.0001, 13.0001],longitudinal,1742650601289,1742650677827,76538
crack_img_2,medium,[52.0002, 13.0002],transverse,1742650601608,1742650678079,76471
crack_img_3,low,[52.0003, 13.0003],alligator,1742650601932,1742650678410,76478
crack_img_4,high,[52.0004, 13.0004],edge,1742650602262,1742650678738,76476
crack_img_5,medium,[52.0005, 13.0005],block,1742650602594,1742650679067,76473
crack_img_6,low,[52.0006, 13.0006],slippage,1742650602915,1742650679390,76475
crack_img_1,high,[52.0001, 13.0001],longitudinal,1742650605180,1742650681661,76481
crack_img_2,medium,[52.0002, 13.0002],transverse,1742650605510,1742650681973,76463
